DAY,PLASTIC WASTE(Kg),FOOD WASTE(Kg)
,,
WEEK 3,,23
19-Mar-2019,,35
20-Mar-2019,,20.5
21-Mar-2019,,
,,
WEEK 4,,18
22-Mar-2019,,28
23-Mar-2019,,5
24-Mar-2019,,31
25-Mar-2019,,8
26-Mar-2019,,40
27-Mar-2019,,53
28-Mar-2019,,
,,
WEEK 5,,32
29-Mar-2019,,27
30-Mar-2019,,
31-Mar-2019,,
,,
WEEK 1,,
1-Apr-2019,,39
2-Apr-2019,,20
3-Apr-2019,,17
4-Apr-2019,,16
5-Apr-2019,,24
6-Apr-2019,,26
7-Apr-2019,,
,,
WEEK 2,,
8-Apr-2019,,37
9-Apr-2019,,22
10-Apr-2019,,27
11-Apr-2019,,21
12-Apr-2019,,27
13-Apr-2019,,
14-Apr-2019,,
,,
WEEK 3,,
15-Apr-2019,,13
16-Apr-2019,,19
17-Apr-2019,,15
18-Apr-2019,,
19-Apr-2019,,
20-Apr-2019,,53
21-Apr-2019,,
,,
WEEK 4,,
22-Apr-2019,,15
23-Apr-2019,,
24-Apr-2019,,18
25-Apr-2019,,39
26-Apr-2019,,24
27-Apr-2019,,24
28-Apr-2019,,
,,
WEEK 5,,
29-Apr-2019,,26
30-Apr-2019,,22
,,
WEEK 1,,
1-May-2019,,
2-May-2019,,40
3-May-2019,,19
4-May-2019,,30
5-May-2019,,
6-May-2019,,28
7-May-2019,,12
,,
WEEK 2,,
8-May-2019,,36
9-May-2019,,38
10-May-2019,,20
11-May-2019,,
12-May-2019,,
13-May-2019,,40
14-May-2019,,20
,,
WEEK 3,,
15-May-2019,,21
16-May-2019,,15
17-May-2019,,17
18-May-2019,,10
19-May-2019,,
20-May-2019,,9
21-May-2019,,21
,,
WEEK 4,,
22-May-2019,,19
23-May-2019,,11
24-May-2019,,22
25-May-2019,,16
26-May-2019,,5
27-May-2019,,20
28-May-2019,,8
,,
WEEK 5,,
29-May-2019,,22
30-May-2019,,20
31-May-2019,,18
