WEEKS,DAY,KG OF FOOD WASTE
WEEK 1,2/3/2019,0
,2/4/2019,16
,2/5/2019,4
,2/6/2019,12
,2/7/2019,0
,2/8/2019,16
,2/9/2019,20
TOTAL,,68
WEEK 2,2/10/2019,0
,2/11/2019,32
,2/12/2019,14
,2/13/2019,23
,2/14/2019,13
,2/15/2019,21
,2/16/2019,20
TOTAL,,123
WEEK 3,2/17/2019,0
,2/18/2019,11
,2/19/2019,48
,2/20/2019,0
,2/21/2019,0
,2/22/2019,54
,2/23/2019,43
TOTAL,,156
WEEK 4,2/24/2019,0
,2/25/2019,41
,2/26/2019,0
,2/27/2019,0
,2/28/2019,27
,3/1/2019,42
,3/2/2019,59
TOTAL,,169
WEEK 5,3/3/2019,0
,3/4/2019,0
,3/5/2019,45
,3/6/2019,23
,3/7/2019,39
,3/8/2019,30
,3/9/2019,25
TOTAL,,162
WEEK 6,3/10/2019,0
,3/11/2019,9
,3/12/2019,0
,3/13/2019,0
,3/14/2019,6
,3/15/2019,19
,3/16/2019,0
TOTAL,,34
WEEK 7,3/17/2019,0
,3/18/2019,0
,3/19/2019,16
,3/20/2019,8
,3/21/2019,8
,3/22/2019,8
,3/23/2019,13
TOTAL,,53
WEEK 8,3/24/2019,0
,3/25/2019,10
,3/26/2019,0
,3/27/2019,11
,3/28/2019,15
,3/29/2019,5
,3/30/2019,28
TOTAL,,69
WEEK 9,3/31/2019,0
,4/1/2019,22
,4/2/2019,25
,4/3/2019,25
,4/4/2019,20
,4/5/2019,18
,4/6/2019,10
TOTAL,,120
WEEK 10,4/7/2019,0
,4/8/2019,23
,4/9/2019,0
,4/10/2019,10
,4/11/2019,26
,4/12/2019,20
,4/13/2019,7
TOTAL,,86
WEEK 11,4/14/2019,0
,4/15/2019,0
,4/16/2019,18
,4/17/2019,0
,4/18/2019,0
,4/19/2019,0
,4/20/2019,22
TOTAL,,40
WEEK 12,4/21/2019,0
,4/22/2019,40
,4/23/2019,0
,4/24/2019,28
,4/25/2019,35
,4/26/2019,18
,4/27/2019,20
TOTAL,,141
WEEK 13,4/28/2019,0
,4/29/2019,21
,4/30/2019,17
,5/1/2019,0
,5/2/2019,26
,5/3/2019,23
,5/4/2019,11
TOTAL,,98
WEEK 14,5/5/2019,0
,5/6/2019,30
,5/7/2019,21
,5/8/2019,25
,5/9/2019,16
,5/10/2019,17
,5/11/2019,0
TOTAL,,109
WEEK 15,5/12/2019,0
,5/13/2019,20
,5/14/2019,26
,5/15/2019,28
,5/16/2019,11
,5/17/2019,14
,5/18/2019,0
TOTAL,,99
WEEK 16,5/19/2019,0
,5/20/2019,18
,5/21/2019,0
,5/22/2019,0
,5/23/2019,17
,5/24/2019,14
,5/25/2019,10
TOTAL,,59
WEEK 17,5/26/2019,0
,5/27/2019,13
,5/28/2019,14
,5/29/2019,14
,5/30/2019,22
,5/31/2019,14
,6/1/2019,17
TOTAL,,94
WEEK 18,6/2/2019,0
,6/3/2019,19
,6/4/2019,15
,6/5/2019,12
,6/6/2019,9
,6/7/2019,12
,6/8/2019,0
TOTAL,,67
