Date,Waste generated (kg),,,
10-10-2018,12,,,
11-10-2018,1,,,
12-10-2018,8,,,
13-10-2018,7,,,
14-10-2018,2,,,
15-10-2018,7,,,
16-10-2018,5,,,
,,,,
17-10-2018,9,,,
18-10-2018,12,,,
19-10-2018,7,,,
24-10-2018,12,,,
30-10-2018,2,,,
31-10-2018,9,,,
01-11-2018,7,,,
,,,,
02-11-2018,10,,,
03-11-2018,8,,,
04-11-2018,3,,,
05-11-2018,9,,,
07-11-2018,20,,,
08-11-2018,5,,,
09-11-2018,8.6,,,
,,,,
10-11-2018,5,,,
11-11-2018,18,,,
20-11-2018,22,,,
21-11-2018,4,,,
22-11-2018,2,,,
23-11-2018,18,,,
24-11-2018,10,,,
,,,,
26-11-2018,17,,,
27-11-2018,10,,,
28-11-2018,12,,,
29-11-2018,7,,,
30-11-2018,16,,,
01-12-2018,7,,,
05-12-2018,7.8,,,
,,,,
07-12-2018,5.4,,,
08-12-2018,4.6,,,
09-12-2018,6,,,
12-12-2018,23,,,
13-12-2018,12.8,,,
16-12-2018,12.7,,,
18-12-2018,19,,,
,,,,
19-12-2018,5,,,
20-12-2018,14,,,
21-12-2018,8,,,
22-12-2018,8,,,
23-12-2018,9,,,
24-12-2018,11,,,
,,,,
02-01-2019,29,,,
03-01-2019,16,,,
04-01-2019,22,,,
05-01-2019,17,,,
07-01-2019,18,,,
,,,,
10-01-2019,12,,,
11-01-2019,23,,,
12-01-2019,4,,,
14-01-2019,32,,,
,,,,
17-01-2019,23,,,
20-01-2019,24,,,
25-01-2019,34,,,
27-01-2019,10,,,
30-01-2019,13,,,
,,,,
01-02-2019,21,,,
03-02-2019,12,,,
04-02-2019,8,,,
07-02-2019,12,,,
,,,,
09-02-2019,22,,,
10-02-2019,14,,,
12-02-2019,11,,,
13-02-2019,21,,,
,,,,
15-02-2019,12,,,
16-02-2019,15,,,
19-02-2019,12,,,
20-02-2019,18,,,
23-02-2019,9,,,
,,,,
27-02-2019,23,,,
30/02/2019,26,,,
,,,,
01-03-2019,17,,,
02-03-2019,15,,,
03-03-2019,17,,,
04-03-2019,13,,,
05-03-2019,16,,,
06-03-2019,21,,,
07-03-2019,23,,,
,,,,
08-03-2019,15,,,
09-03-2019,9,,,
10-03-2019,8,,,
11-03-2019,16,,,
12-03-2019,28,,,
13-03-2019,15,,,
14-03-2019,21,,,
,,,,
15-03-2019,15,,,
16-03-2019,31,,,
17-03-2019,13,,,
18-03-2019,16,,,
19-03-2019,17,,,
20-03-2019,17,,,
21-03-2019,14,,,
,,,,
22-03-2019,7,,,
23-03-2019,13,,,
24-03-2019,8,,,
25-03-2019,15,,,
26-03-2019,19,,,
27-03-2019,12,,,
28-03-2019,19,,,
,,,,
29-03-2019,16,,,
30-03-2019,16.6,,,
31-03-2019,12,,,
01-04-2019,18,,,
02-04-2019,9.6,,,
03-04-2019,12.5,,,
,,,,
04-04-2019,22.7,,,
05-04-2019,9,,,
06-04-2019,15,,,
07-04-2019,24,,,
08-04-2019,22,,,
09-04-2019,12,,,
10-04-2019,18,,,
,,,,
11-04-2019,22,,,
12-04-2019,23,,,
13-04-2019,16,,,
14-04-2019,15,,,
15-04-2019,24,,,
16-04-2019,26,,,
17-04-2019,13,,,
,,,,
18-04-2019,12,,,
19-04-2019,14.8,,,
20-04-2019,13,,,
21-04-2019,17,,,
22-04-2019,12,,,
23-04-2019,13,,,
24-04-2019,23,,,
,,,,
25-04-2019,16,,,
26-04-2019,12,,,
27-04-2019,18,,,
28-04-2019,10,,,
29-04-2019,17,,,
30-04-2019,16,,,
,,,,
,,,,
01-05-2019,15,,,
02-05-2019,23.9,,,
03-05-2019,24,,,
04-05-2019,21,,,
05-05-2019,13,,,
06-05-2019,13,,,
07-05-2019,14.7,,,
,,,,
08-05-2019,23,,,
09-05-2019,11,,,
10-05-2019,13,,,
11-05-2019,12,,,
12-05-2019,23,,,
13-05-2019,13.6,,,
14-05-2019,18.7,,,
,,,,
15-05-2019,15.7,,,
16-05-2019,14,,,
17-05-2019,27,,,
18-05-2019,21,,,
19-05-2019,27,,,
20-05-2019,12,,,
21-05-2019,25,,,
,,,,
22-05-2019,19,,,
23-05-2019,10,,,
24-05-2019,7,,,
25-05-2019,24,,,
26-05-2019,8,,,
27-05-2019,15,,,
28-05-2019,17,,,
,,,,
29-05-2019,14,,,
30-05-2019,13,,,
31-05-2019,23,,,
01-06-2019,14,,,
02-06-2019,23,,,
03-06-2019,14,,,
04-06-2019,28,,,
,,,,
05-06-2019,6,,,
06-06-2019,39,,,
07-06-2019,23,,,
08-06-2019,27,,,
09-06-2019,14,,,
10-06-2019,40,,,
11-06-2019,37,,,
,,,,
,,,,
,,,,
